run_id,user_input,answer_relevancy,context_utilization,cpac_plan_quality,evidence_uncertainty,faithfulness
query_0000,"CPAC v1.8.7, dataset=ADHD-200 (8 sites, children/adolescents, heterogeneous scanners/protocols, T1w ...",0.781,0.453,4.748,4.864,0.354
query_0001,"CPAC v1.8.7, ADHD-200: pediatric brains differ in size and CSF proportions; within anatomical_prepro...",0.804,0.357,5.0,3.674,0.845
query_0002,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differenc...",0.73,0.475,4.269,5.0,0.472
query_0003,"CPAC v1.8.7, ADHD-200: one site exhibits systematic skull-stripping failures (retains orbits or remo...",0.723,0.607,4.493,3.329,0.263
query_0004,"CPAC v1.8.7, ADHD-200: field-of-view (FOV) varies across sites; within anatomical_preproc, should FO...",0.884,0.343,4.454,4.721,0.639
query_0005,"CPAC v1.8.7, ADHD-200: for a site-adaptive strategy, which anatomical_preproc parameters are most ap...",0.927,0.343,3.812,5.0,0.23
query_0006,"CPAC v1.8.7, ADHD-200 rs-fMRI (TR varies 2.0–2.5s, voxel 2.5–3.5mm, slice-timing sometimes missing, ...",0.813,0.615,4.867,3.617,0.516
query_0007,"CPAC v1.8.7, ADHD-200: slice timing metadata is missing but TR is long (~2.5s); within functional_pr...",0.899,0.493,4.846,3.914,0.082
query_0008,"CPAC v1.8.7, ADHD-200: pediatric high-motion causes frequent spike artifacts; within functional_prep...",0.848,0.308,4.693,4.38,0.209
query_0009,"CPAC v1.8.7, ADHD-200: one site shows severe EPI distortion (OFC/temporal stretch) but has no fieldm...",0.767,0.46,4.549,3.958,0.514
query_0010,"CPAC v1.8.7, ADHD-200: TR and voxel size differ across sites; within functional_preproc, how should ...",0.848,0.309,3.841,3.225,0.622
query_0011,"CPAC v1.8.7, ADHD-200: for cross-site FC or ReHo comparisons, should functional_preproc enforce a un...",0.942,0.308,4.437,4.358,0.509
query_0012,"CPAC v1.8.7, ADHD-200 (pediatric morphology, high motion, variable T1 quality): within registration_...",0.816,0.415,4.484,3.567,0.451
query_0013,"CPAC v1.8.7, ADHD-200: one site has frequent EPI→T1 failures (skull alignment, large rotations); wit...",0.944,0.091,4.208,4.642,0.414
query_0014,"CPAC v1.8.7, ADHD-200: pediatric samples may be biased by adult MNI templates; within registration_w...",0.609,0.119,4.593,3.667,0.179
query_0015,"CPAC v1.8.7, ADHD-200: EPI contrast varies across sites; within registration_workflows, should multi...",0.885,0.294,4.932,5.0,0.33
query_0016,"CPAC v1.8.7, ADHD-200: for site-adaptive configuration, which registration_workflows parameters can ...",0.826,0.226,5.0,3.762,0.382
query_0017,"CPAC v1.8.7, ADHD-200: for high evidence consistency under high motion + no distortion correction, w...",0.795,0.425,4.794,4.085,0.686
query_0018,"CPAC v1.8.7, ADHD-200 (high motion, no physio recordings, TR 2.0–2.5s): within nuisance_corrections,...",0.826,0.242,4.844,4.88,0.543
query_0019,"CPAC v1.8.7, ADHD-200: under multi-site + high motion, should nuisance_corrections prioritize ICA-AR...",0.66,0.166,4.645,3.449,0.122
query_0020,"CPAC v1.8.7, ADHD-200: TR differs across sites (2.0 vs 2.5s); within nuisance_corrections, how do fi...",0.801,0.598,3.538,4.47,0.539
query_0021,"CPAC v1.8.7, ADHD-200: to avoid one-size-fits-all, how should GSR be presented for ADHD/pediatric mu...",0.848,0.344,4.674,5.0,0.397
query_0022,"CPAC v1.8.7, ADHD-200: aggressive scrubbing can leave insufficient data (<4 minutes usable); within ...",0.937,0.388,4.726,3.185,0.339
query_0023,"CPAC v1.8.7, ADHD-200: for per-site adaptation, which nuisance_corrections thresholds/strategies can...",0.778,0.165,5.0,4.44,0.597
query_0024,"CPAC v1.8.7, ADHD-200 (variable T1 quality): within segmentation, how should WM/CSF mask generation ...",0.754,0.297,4.574,4.492,0.68
query_0025,"CPAC v1.8.7, ADHD-200: low T1 contrast at some sites causes GM/WM confusion; within segmentation onl...",0.779,0.395,4.871,4.858,0.66
query_0026,"CPAC v1.8.7, ADHD-200: pediatric CSF spaces differ from adults; within segmentation, why can adult-t...",0.892,0.206,4.669,3.444,0.306
query_0027,"CPAC v1.8.7, ADHD-200: if nuisance modeling relies on CompCor, within segmentation, how should noise...",0.845,0.435,3.989,3.386,0.412
query_0028,"CPAC v1.8.7, ADHD-200: a site shows systematically small WM masks (insufficient regression); within ...",0.777,0.288,5.0,4.676,0.54
query_0029,"CPAC v1.8.7, ADHD-200: for site-adaptive configuration, which segmentation settings are appropriate ...",0.86,0.334,5.0,4.518,0.669
