run_id,user_input,answer_relevancy,context_utilization,cpac_plan_quality,evidence_uncertainty,faithfulness
query_0000,"CPAC v1.8.7, dataset=OpenNeuro ds002748 (single-site, BIDS-compliant, adult MDD/HC, T1w 1mm isotropi...",0.862,0.256,3.731,4.64,0.611
query_0001,"CPAC v1.8.7, ds002748: T1w shows mild intensity non-uniformity (bias field) and slightly low GM/WM c...",0.907,0.27,4.138,2.626,0.314
query_0002,"CPAC v1.8.7, ds002748: T1w has mild motion blur; skull-stripping intermittently removes frontal cort...",0.893,0.116,4.509,4.446,0.271
query_0003,"CPAC v1.8.7, ds002748: only T1w (no T2, no fieldmap); if functional-to-template alignment frequently...",0.868,0.253,4.726,3.639,0.582
query_0004,"CPAC v1.8.7, ds002748: orbitofrontal/temporal pole GM/WM contrast is imperfect; within anatomical_pr...",0.791,0.262,3.486,2.944,0.441
query_0005,"CPAC v1.8.7, ds002748: target downstream ReHo/ALFF; within anatomical_preproc, how do choices for MN...",0.877,0.111,4.006,3.955,0.628
query_0006,"CPAC v1.8.7, ds002748 rs-fMRI (TR=2.0s, voxel≈3mm, slice timing available, no fieldmap, phase-encodi...",0.755,0.498,3.921,3.771,0.58
query_0007,"CPAC v1.8.7, ds002748: a subset of subjects has transient high motion (FD peak>0.8); within function...",0.797,0.289,3.814,3.211,0.471
query_0008,"CPAC v1.8.7, ds002748: no fieldmap but orbitofrontal EPI distortion is evident; within functional_pr...",0.778,0.039,5.0,3.68,0.316
query_0009,"CPAC v1.8.7, ds002748: physiological-like spikes and low-frequency drift are present; within functio...",0.823,0.317,4.449,3.362,0.183
query_0010,"CPAC v1.8.7, ds002748: after resampling, some subjects show edge ringing or unintended blur; within ...",0.996,0.072,3.45,3.711,0.396
query_0011,"CPAC v1.8.7, ds002748: TR=2.0s and ALFF band of interest is 0.01–0.1Hz; should any temporal filterin...",0.667,0.336,4.757,4.095,0.657
query_0012,"CPAC v1.8.7, ds002748 (no fieldmap, T1w 1mm, EPI ~3mm, PE=AP): within registration_workflows, what a...",0.871,0.392,5.0,4.742,0.528
query_0013,"CPAC v1.8.7, ds002748: EPI→T1 alignment is often mislocalized in orbitofrontal/temporal regions (dis...",0.687,0.095,4.826,2.765,0.236
query_0014,"CPAC v1.8.7, ds002748: downstream functional connectivity is sensitive to registration; within regis...",0.779,0.363,3.295,4.931,0.52
query_0015,"CPAC v1.8.7, ds002748: a few subjects show abnormal T1→MNI warps (over-stretching); within registrat...",0.903,0.28,3.916,2.265,0.563
query_0016,"CPAC v1.8.7, ds002748: EPI resolution is low and tissue boundaries are unclear; within registration_...",0.821,0.341,4.967,3.525,0.309
query_0017,"CPAC v1.8.7, ds002748: you want outputs in both native and MNI 2mm spaces; within registration_workf...",0.73,0.503,3.782,4.043,0.516
query_0018,"CPAC v1.8.7, ds002748 (TR=2.0s, mean FD≈0.15 with some spikes, no physiological recordings): within ...",0.759,0.181,4.473,3.828,0.497
query_0019,"CPAC v1.8.7, ds002748: target ReHo and ALFF; within nuisance_corrections, should GSR and strict scru...",0.871,0.105,4.671,3.196,0.257
query_0020,"CPAC v1.8.7, ds002748: moderate motion and small sample size; within nuisance_corrections, how shoul...",0.758,0.085,3.65,3.486,0.557
query_0021,"CPAC v1.8.7, ds002748: after regression the time series looks over-cleaned (tSNR drops, low-frequenc...",0.834,0.096,4.171,3.286,0.598
query_0022,"CPAC v1.8.7, ds002748: without physiological recordings, should WM/CSF mean regressors and linear tr...",0.82,0.207,2.262,3.219,0.702
query_0023,"CPAC v1.8.7, ds002748: for high evidence-consistency, how should nuisance regression recommendations...",0.764,0.269,3.592,4.226,0.696
query_0024,"CPAC v1.8.7, ds002748 (T1w only): within segmentation, what are recommended settings for tissue segm...",0.988,0.26,4.055,3.881,0.21
query_0025,"CPAC v1.8.7, ds002748: CSF mask leaks into cortical sulci; within segmentation, which parameters sho...",0.867,0.342,3.458,3.146,0.298
query_0026,"CPAC v1.8.7, ds002748: WM segmentation in frontal regions has holes/discontinuities; within segmenta...",0.654,0.22,5.0,4.261,0.589
query_0027,"CPAC v1.8.7, ds002748: you plan to use CompCor; within segmentation, how should noise ROIs be constr...",0.831,0.436,3.348,3.847,0.588
query_0028,"CPAC v1.8.7, ds002748: occasional segmentation failures occur despite good T1 quality; within segmen...",0.763,0.178,3.942,4.2,0.589
query_0029,"CPAC v1.8.7, ds002748: to ensure cross-subject consistency, which segmentation parameters should be ...",0.885,0.626,4.285,4.072,0.996
